ByteVal,enum{//,OPCode,ToStack_0,ToStack_1,ToStack_2,ToStack_3,ToStack_4,ToStack_5,NextByte_0,NextByte_1,NextByte_2,NextByte_3,NextByte_4,NextByte_5,NextByte_6,NextByte_7,NextByte_8,NextByte_9,NextByte_10,NextByte_11,NextByte_12,NextByte_13,FromStack_0,FromStack_1,FromStack_2,FromStack_3,FromStack_4
47,,laload, value,,,,,,,,,,,,,,,,,,,,arrayref, index ,,,
58,,astore,,,,,,,index,,,,,,,,,,,,,,objectref ,,,,
59,,istore_0,,,,,,,,,,,,,,,,,,,,,value ,,,,
60,,istore_1,,,,,,,,,,,,,,,,,,,,,value ,,,,
61,,istore_2,,,,,,,,,,,,,,,,,,,,,value ,,,,
62,,istore_3,,,,,,,,,,,,,,,,,,,,,value ,,,,
63,,lstore_0,,,,,,,,,,,,,,,,,,,,,value ,,,,
74,,dstore_3,,,,,,,,,,,,,,,,,,,,,value ,,,,
75,,astore_0,,,,,,,,,,,,,,,,,,,,,objectref ,,,,
76,,astore_1,,,,,,,,,,,,,,,,,,,,,objectref ,,,,
77,,astore_2,,,,,,,,,,,,,,,,,,,,,objectref ,,,,
78,,astore_3,,,,,,,,,,,,,,,,,,,,,objectref ,,,,
79,,iastore,,,,,,,,,,,,,,,,,,,,,arrayref, index, value ,,
90,,dup_x1, value1, value2, value1,,,,,,,,,,,,,,,,,,value2, value1 ,,,
91,,dup_x2, value1, value3, value2, value1,,,,,,,,,,,,,,,,,value3, value2, value1 ,,
92,,dup2, {value2, value1}, {value2, value1},,,,,,,,,,,,,,,,,{value2, value1} ,,,
93,,dup2_x1, {value2, value1}, value3, {value2, value1},,,,,,,,,,,,,,,,value3, {value2, value1} ,,
94,,dup2_x2, {value2, value1}, {value4, value3}, {value2, value1},,,,,,,,,,,,,,,{value4, value3}, {value2, value1} ,
95,,swap, value1, value2,,,,,,,,,,,,,,,,,,,value2, value1 ,,,
106,,fmul, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
107,,dmul, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
108,,idiv, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
109,,ldiv, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
110,,fdiv, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
111,,ddiv, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
122,,ishr, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
123,,lshr, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
124,,iushr, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
125,,lushr, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
126,,iand, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
127,,land, result,,,,,,,,,,,,,,,,,,,,value1, value2 ,,,
138,,l2d, result,,,,,,,,,,,,,,,,,,,,value ,,,,
139,,f2i, result,,,,,,,,,,,,,,,,,,,,value ,,,,
140,,f2l, result,,,,,,,,,,,,,,,,,,,,value ,,,,
141,,f2d, result,,,,,,,,,,,,,,,,,,,,value ,,,,
142,,d2i, result,,,,,,,,,,,,,,,,,,,,value ,,,,
143,,d2l, result,,,,,,,,,,,,,,,,,,,,value ,,,,
154,,ifne,,,,,,,branchbyte1, branchbyte2,,,,,,,,,,,,,value ,,,,
155,,iflt,,,,,,,branchbyte1, branchbyte2,,,,,,,,,,,,,value ,,,,
156,,ifge,,,,,,,branchbyte1, branchbyte2,,,,,,,,,,,,,value ,,,,
157,,ifgt,,,,,,,branchbyte1, branchbyte2,,,,,,,,,,,,,value ,,,,
158,,ifle,,,,,,,branchbyte1, branchbyte2,,,,,,,,,,,,,value ,,,,
159,,if_icmpeq,,,,,,,branchbyte1, branchbyte2,,,,,,,,,,,,,value1, value2 ,,,
160,,if_icmpne,,,,,,,branchbyte1, branchbyte2,,,,,,,,,,,,,value1, value2 ,,,
161,,if_icmplt,,,,,,,branchbyte1, branchbyte2,,,,,,,,,,,,,value1, value2 ,,,
